-5.0,-26.0,0.0,0.0,-10.0,0.0,0.0,0.0
2315690650857437696,2315707450883877888,2315201741807975936,2315742694633294336,2315942201202579968,2315965941686627840,2315976898874151424,2316061817822649344,21304317978,3043485184,16737330013,1521754204,144572389539,16740102014,1521831604,62395737642,21304316879,3043483536,16737329401,1521754201,144572383195,16740101401,1521831601,62395735201,89,67,62,71,170,64,52,96,1521736934,1521741766,3,18,1521814569,4,4,6,58,16,11,20,129,13,1,45,19782579434,1521740890,15215753571,14,143050564134,15218273872,0,60873885652,-7,-9,-9,-8,-7,-8,-8,-10,553,2944,0,-6,1089,0,0,-3
21304320847,3043489567,16737335287,1521758587,144572392327,16740105487,1521835087,62395760887,21304316913,3043483561,16737329410,1521754200,144572383304,16740101410,1521831600,62395735240,3043475408,3043483655,3043152010,3043508400,3043640484,3043656010,3043663200,3043699240,13,1,11,1,94,11,1,41,13,1,11,1,94,11,1,41,19782633584,1521750868,15215814010,0,143051438435,15218316010,0,60874920040,553,2944,0,-6,1089,0,0,-3,553,2944,0,-6,1089,0,0,-3,-18,-24,0,-6,-53,0,0,-3
21304317698,3043483675,16737330025,1521754237,144572388892,16740102007,1521831623,62395737632,46,25,51,51,41,51,51,51,-90668704443724112,-90669481695746576,-90650281855060448,-90671436259806896,-90680636154267264,-90679692015028864,-90680578991153904,-90732839274780128,19782593982,1521743376,15215760000,-6,143051155147,15218280000,0,60873983997,-4,-25,1,0,-9,1,0,1,-18,-24,0,-6,-53,0,0,-3,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0
1521737695,1521741814,1521576000,1521754200,1521820190,1521828000,1521831600,1521849600,51,51,51,51,51,51,51,51,289,615,12798,1,284,4115,1,2376,-18,-24,0,-6,-53,0,0,-3,-18,-24,0,-6,-53,0,0,-3,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0
1521740995,1521747874,1521581400,1521758700,1521823790,1521831600,1521835200,1521873000,1521738008,1521743375,1521576010,1521754200,1521820884,1521828010,1521831600,1521849640,1521736915,1521741754,1521575400,1521754200,1521814550,1521827400,1521831600,1521847200,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0
1521736920,1521741780,1521575400,1521754200,1521814560,1521827400,1521831600,1521847200,46,25,51,51,41,51,51,51,117056789,1521743389,152157600,0,16189598,152182800,0,38046240,-5,-26,0,0,-10,0,0,0,-10,-2,0,0,-5,0,0,0,-5,-26,0,0,-10,0,0,0,-5,-26,1,20,-10,3,1,5,-5,-26,1,20,-10,3,1,5,-5,-26,0,0,-10,0,0,0
1521736920,1521741780,1521575400,1521754200,1521814560,1521827400,1521831600,1521847200,51,51,51,51,51,51,51,51,46,25,51,51,41,51,51,51,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0
4075,6094,6000,4500,9230,4200,3600,25800,51,51,51,51,51,51,51,51,-536356,-893429,-13337595,-671188,-536374,-4448301,-13338045,-2691232,-5,-26,0,0,-10,0,0,0,-10,-52,0,0,-20,0,0,0,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0,375,33,0,0,181,0,0,0,-5,-27,0,0,-10,0,0,0
3295,6034,5400,4500,3590,3600,3600,23400,51,51,51,51,51,51,51,51,-114,-114,-114,-114,-114,-114,-114,-114,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0,-196,-164,0,0,-1531,0,0,0,-5,-27,0,0,-10,0,0,0
1521740995,1521747874,1521581400,1521758700,1521823790,1521831600,1521835200,1521873000,1521736915,1521741753,1521575400,1521754200,1521814550,1521827400,1521831600,1521847200,1521735013,1521738901,1521570610,1521749700,1521817894,1521824410,1521828000,1521826240,-5,-27,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0,-5,-26,0,0,-10,0,0,0,15,-22,0,0,5,0,0,0,-10,-52,0,0,-20,0,0,0,-10,-52,0,0,-20,0,0,0
